lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
5493000EO85W8IS2FR22,,,,unmatched,4672,3078,1,CA:2989;NV:32;NH:24;AZ:19;MA:5;VA:4;MD:3;ME:1;TX:1,high,1
254900LKAJBFGO0IIP75,,,,unmatched,2115,1702,1,TX:1171;KY:285;NC:99;OH:81;MA:45;GA:8;NH:6;FL:3;CT:2;ME:1,high,1
549300Q61S3IBOJITT02,,,,unmatched,1510,1079,1,MA:801;RI:261;CT:8;NH:4;FL:4;ME:1,high,1
5493006Z1T521ODWBA53,,,,unmatched,1065,753,1,NY:752;ME:1,high,1
R7JQ9JTCFHXBQU4XIT26,,,,unmatched,1233,764,1,PA:628;NJ:78;MD:31;DE:11;FL:8;GA:2;NC:1;ME:1;TX:1;IL:1,high,1
5493000NZZZU3GFIYL71,,,,unmatched,860,562,1,MA:552;RI:3;NH:3;ME:1;AL:1;CT:1;FL:1,high,1
5493004LN4GS7BNXIO13,,,,unmatched,560,370,1,MA:361;NH:5;CT:2;ME:1;FL:1,medium,1
549300WU17K1CLH8VI32,,,,unmatched,379,275,1,NY:251;PA:18;FL:4;ME:1;MA:1,medium,1
549300J8Y8IPQFMMIT88,,,,unmatched,369,253,1,MA:231;RI:8;NH:7;IL:2;NC:1;ME:1;IN:1;MI:1;FL:1,medium,1
549300E0KRXI8PZWAO17,,,,unmatched,767,312,1,MA:227;RI:69;NH:14;ME:1;CT:1,medium,1
549300GMXZWXNOS1US34,,,,unmatched,337,209,1,NJ:195;PA:4;FL:2;GA:2;NY:2;DE:2;ME:1;SC:1,medium,1
549300EE39SNC5DXTC46,,,,unmatched,276,216,1,MA:194;NH:18;ME:1;FL:1;MT:1;VT:1,medium,1
549300FZJCP0WM3QJH15,,,,unmatched,219,194,1,NJ:110;NY:59;FL:10;PA:7;CT:3;SC:2;OH:1;NC:1;ME:1,medium,1
549300YOEBGKPKU43Q28,,,,unmatched,321,214,1,MA:183;CT:23;RI:3;NY:2;LA:1;VT:1;ME:1,medium,1
5493000SW5GLNL7VNX12,,,,unmatched,216,198,1,PA:164;NJ:14;DE:14;NC:1;SC:1;FL:1;ME:1;MD:1;NY:1,medium,1
2549006A34A1F1ZGTT81,,,,unmatched,209,178,1,MA:168;NH:6;CT:2;ME:1;RI:1,medium,1
254900F213LCBO4VGA06,,,,unmatched,226,174,1,MA:139;NH:32;FL:2;ME:1,medium,1
549300VGZHXNY2T0G559,,,,unmatched,666,513,1,OH:378;PA:83;MI:24;NJ:11;DE:5;FL:5;VA:1;CO:1;SC:1;ME:1,medium,1
54930061YDWSR567KC82,,,,unmatched,148,112,1,MA:64;NH:47;ME:1,medium,1
549300EJ3PWN9QTWAN34,,,,unmatched,62,62,1,GA:61;ME:1,medium,1
5493000GDQJIBPCUBG13,,,,unmatched,111,57,1,MA:50;NH:4;ME:1;FL:1;VT:1,medium,1
549300MNZECUR067HB12,,,,unmatched,4837,3819,1,OK:3786;TX:8;KS:7;MO:6;CO:3;CA:3;AR:2;ME:1;NC:1;NM:1,medium,1
549300I3PFIO81O8JD40,,,,unmatched,842,700,1,VT:533;NH:165;RI:1;ME:1,medium,1
5493007YN2BYYXCI7W64,,,,unmatched,1465,650,1,SD:494;MN:93;ND:25;MT:10;NE:10;WY:9;IA:6;IN:1;ME:1;CO:1,medium,1
5493002578XYSRFY2C51,,,,unmatched,85,51,1,MA:49;ME:1;RI:1,low,1
549300UXQYBOU2E10G39,,,,unmatched,59,56,1,MA:46;NH:9;ME:1,low,1
549300UWBYWOAZYM9C07,,,,unmatched,68,47,1,MA:43;NH:3;ME:1,low,1
549300T92XVMWQW75772,,,,unmatched,90,69,1,MA:36;NH:32;ME:1,low,1
254900ZKVJDEYHV22276,,,,unmatched,449,404,1,LA:374;FL:10;MS:6;AL:3;TN:3;TX:3;MA:2;NM:1;VA:1;ME:1,low,1
549300UG1DH7RQL41718,,,,unmatched,120,81,1,CT:59;RI:6;CA:3;MA:3;FL:2;NJ:2;NC:2;ME:1;NY:1;NH:1,low,1
549300CKJ4DTUYAZXI11,,,,unmatched,538,485,1,OK:467;TX:5;FL:4;MI:1;MO:1;UT:1;ME:1;IA:1;KS:1;IN:1,low,1
549300TTK5T7CZ3UJ084,,,,unmatched,333,298,1,UT:246;WY:29;AZ:5;ID:4;OR:3;CO:3;CA:2;TX:1;ME:1;WA:1,low,1
25490041Y3ITG7RD6H37,,,,unmatched,26,22,1,VA:14;FL:2;MD:1;ME:1;CA:1;DC:1;TN:1;DE:1,low,1
254900O6ESF124P8HR04,,,,unmatched,545,326,1,NH:324;MA:1;ME:1,low,1
