lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300D4ZYLSQ5LMTV35,,,,unmatched,3991,2731,338,NJ:1569;PA:399;FL:338;NY:298;SC:49;TN:30;NC:21;GA:16,high
549300DMYENRV818D594,,,,unmatched,4895,3637,329,TX:1607;GA:638;TN:631;FL:329;PA:299;NC:54;DC:50;SC:21,high
549300GWD9H4FQ2VR805,,,,unmatched,2798,2069,316,CA:552;FL:316;NY:308;TX:200;NJ:139;MA:124;NC:111;TN:86,high
X6T32LKEPUT8LQMW6755,,,,unmatched,1134,560,315,FL:315;TN:233;SC:5;NC:3;GA:2;CA:1;PA:1,high
549300NJVKCDJA5YC939,,,,unmatched,3143,2135,310,GA:982;CA:454;FL:310;SC:183;TX:102;NC:96;TN:8,high
254900BMXWPEHXG4LF21,,,,unmatched,1186,801,302,CA:361;FL:302;TX:72;PA:25;GA:12;NJ:12;TN:6;SC:6,high
ZXMJHJK466PBZTM5F379,,,,unmatched,1278,1048,298,FL:298;TX:142;CA:122;NC:99;NY:75;TN:69;GA:58;SC:54,high
984500D61DCEC4E2B661,,,,unmatched,504,356,297,FL:297;NC:13;GA:13;MA:12;TX:10;NJ:4;SC:3;TN:2,high
549300QR0KFPEDZPEI42,,,,unmatched,2994,1812,289,TN:703;GA:442;FL:289;PA:270;NC:48;SC:43;TX:16;CA:1,high
549300VQUTI5IU7GXT57,,,,unmatched,3752,2100,286,TX:1288;FL:286;GA:253;CA:127;TN:43;NC:33;SC:32;PA:21,high
3Y4U8VZURTYWI1W2K376,,,,unmatched,10754,4278,285,CA:3818;FL:285;TX:35;NY:26;TN:25;SC:18;NC:17;NJ:16,high
254900QNIR86GUIRYH95,,,,unmatched,5344,2744,284,CA:1861;TX:290;FL:284;NC:89;GA:80;NJ:36;PA:29;TN:26,high
5493004RLLKTQS8K7U51,,,,unmatched,2746,1428,282,TX:639;FL:282;NC:127;NY:78;CA:78;NJ:51;MA:42;SC:42,high
54930091JQKCU3Z6IP44,,,,unmatched,14557,1402,276,GA:284;FL:276;TX:151;NC:128;NY:123;PA:118;TN:101;NJ:100,high
549300NWBS6MQJX15N44,,,,unmatched,5032,3672,275,CA:1262;TX:1171;GA:488;FL:275;PA:169;TN:103;NC:91;MA:47,high
549300ALNLUNS3Y53T24,,,,unmatched,11375,1905,274,GA:491;TX:304;FL:274;NC:168;CA:163;PA:147;TN:111;SC:84,high
254900FBWEZ3YUPOBN33,,,,unmatched,2237,1298,269,FL:269;NC:262;SC:137;GA:131;TN:130;TX:120;PA:108;NJ:60,high
549300QKL5FUBZ8LSF50,,,,unmatched,3942,2681,268,CA:840;PA:570;MA:314;FL:268;NJ:191;TX:184;GA:149;SC:88,high
L9VVX1KT5TFTKS0MLF66,,,,unmatched,19810,13127,266,NC:6984;SC:3577;CA:1383;GA:442;FL:266;MA:197;TN:106;TX:92,high
CKVBED0S4DMLKJJ5XH28,,,,unmatched,1770,1547,265,CA:364;FL:265;TX:142;NY:138;NC:122;NJ:119;GA:115;TN:91,high
549300LROQOOQU77WS20,,,,unmatched,6354,2765,263,CA:537;TX:435;NC:318;GA:291;FL:263;NJ:234;PA:186;TN:172,high
549300W45D2J6BT4LX65,,,,unmatched,1069,1054,260,FL:260;CA:195;TX:184;NJ:175;GA:65;NC:63;SC:46;PA:29,high
C398JSK21YCXWM603F55,,,,unmatched,2695,1598,252,CA:371;FL:252;NY:179;TX:179;NC:174;GA:138;PA:96;SC:79,high
XC7Z0BA39TU7L1AKOJ12,,,,unmatched,540,292,246,FL:246;CA:16;GA:10;TN:6;SC:6;NC:4;NJ:2;PA:1,high
549300C8GOC4OYUV0Z32,,,,unmatched,2202,1165,244,FL:244;TX:183;PA:140;GA:128;NC:127;NY:90;TN:67;NJ:63,high
549300NN0PRX3I4QGG46,,,,unmatched,1163,650,244,FL:244;NC:138;GA:108;TX:89;SC:36;PA:17;TN:17;CA:1,high
549300IWE0Y507LPF493,,,,unmatched,320,252,244,FL:244;CA:7;TX:1,high
549300RYTR2RVL4SFJ90,,,,unmatched,1960,1187,241,TX:242;FL:241;NC:142;NJ:131;GA:121;PA:72;CA:65;TN:59,high
549300T7HRS5DVBUPQ06,,,,unmatched,2311,1839,235,GA:1234;FL:235;NC:142;SC:55;PA:42;CA:41;NJ:33;TX:32,high
