lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wisconsin_originations,florida_originations,total_originations,priority_match,notes
549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",2113,plaza-home-mortgage,"Plaza Home Mortgage, Inc.",high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,89,0,89,medium,reuse_prior_state_curated_lei map for WI activity (89 WI originations); slug=plaza-home-mortgage.
5493004K0Z4RFJSPYT52,CONSUMERS COOPERATIVE CREDIT UNION,692733,consumers-credit-union-illinois,Consumers Credit Union (Illinois),high,reuse_prior_state_curated_lei+il_oh_curated+il_oh_deepen_gleif+public_nmls,75,0,75,medium,reuse_prior_state_curated_lei map for WI activity (75 WI originations); slug=consumers-credit-union-illinois.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,71,0,71,medium,reuse_prior_state_curated_lei map for WI activity (71 WI originations); slug=nfm-lending.
549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION,182334,american-financing,American Financing Corporation,high,reuse_prior_state_curated_lei+co_curated+co_curated_gleif+public_nmls,68,0,68,medium,reuse_prior_state_curated_lei map for WI activity (68 WI originations); slug=american-financing.
549300QDGMFASKEN7Z77,BLAZE CREDIT UNION,,blaze-credit-union,Blaze Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,66,0,66,medium,wi_mn_curated map for WI activity (66 WI originations); slug=blaze-credit-union.
549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",1058,lennar-mortgage-queen-creek,"Lennar Mortgage, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,58,0,58,medium,wi_mn_curated map for WI activity (58 WI originations); slug=lennar-mortgage-queen-creek.
549300PC4MFWQBNVKG88,"V.I.P. MORTGAGE, INC.",145502,vip-mortgage,"V.I.P. Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+co_curated+co_curated_gleif+public_nmls,58,0,58,medium,reuse_prior_state_curated_lei map for WI activity (58 WI originations); slug=vip-mortgage.
549300SK2GVCQXPD4S58,"SUN WEST MORTGAGE COMPANY, INC.",3277,sun-west-mortgage,"Sun West Mortgage Company, Inc.",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,54,0,54,medium,reuse_prior_state_curated_lei map for WI activity (54 WI originations); slug=sun-west-mortgage.
L9VVX1KT5TFTKS0MLF66,First-Citizens Bank & Trust Company,503941,first-citizens-bank,First-Citizens Bank & Trust Company,high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,54,0,54,medium,reuse_prior_state_curated_lei map for WI activity (54 WI originations); slug=first-citizens-bank.
549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,401822,penfed-dc-mid-city,Pentagon Federal Credit Union,high,reuse_prior_state_curated_lei+gleif_name_to_directory,53,972,53,medium,reuse_prior_state_curated_lei map for WI activity (53 WI originations); slug=penfed-dc-mid-city.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-metrowest,CrossCountry Mortgage (West Valley),high,reuse_prior_state_curated_lei+curated_lei+directory_name,52,11582,52,medium,reuse_prior_state_curated_lei map for WI activity (52 WI originations); slug=crosscountry-mortgage-metrowest.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,52,2297,52,medium,reuse_prior_state_curated_lei map for WI activity (52 WI originations); slug=citizens-bank.
549300T3F9S1MKFKHC53,HOMESTEAD FUNDING CORP.,3232,homestead-funding,Homestead Funding Corp.,high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,49,0,49,medium,reuse_prior_state_curated_lei map for WI activity (49 WI originations); slug=homestead-funding.
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",412915,citibank,"Citibank, National Association",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,38,0,38,medium,reuse_prior_state_curated_lei map for WI activity (38 WI originations); slug=citibank.
549300R0SXC1JU7ZU290,"FIRST COMMUNITY MORTGAGE, INC.",629700,first-community-mortgage,"First Community Mortgage, Inc.",high,reuse_prior_state_curated_lei+tn_curated+tn_curated_gleif+public_nmls,38,0,38,medium,reuse_prior_state_curated_lei map for WI activity (38 WI originations); slug=first-community-mortgage.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+curated_lei_public_nmls,36,3553,36,medium,reuse_prior_state_curated_lei map for WI activity (36 WI originations); slug=eagle-home-mortgage.
549300YB1H2FRI6JPM51,LAKE MICHIGAN CREDIT UNION,442967,lake-michigan-credit-union,Lake Michigan Credit Union,high,reuse_prior_state_curated_lei+mi_in_curated+mi_in_curated_gleif+public_nmls,33,0,33,medium,reuse_prior_state_curated_lei map for WI activity (33 WI originations); slug=lake-michigan-credit-union.
549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,338923,anniemac-home-mortgage,American Neighborhood Mortgage Acceptance Company LLC (dba AnnieMac),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,31,0,31,medium,reuse_prior_state_curated_lei map for WI activity (31 WI originations); slug=anniemac-home-mortgage.
